,i_type,incident_with,date,p_type,details,incident_effect,injury,trip_purpose,regular_cyclist,helemt,intoxicated,road_conditions,sightlines,card_on_roadside,riding_on,bike_lights,terrain,direction,turning,age,birthmonth,sex,pk,longitude,latitude,datetime,seconds
358,Near collision with moving object or vehicle,"Vehicle, head on",2016-01-11T19:45:00,nearmiss,"I was turning left into Teakwood while on Larchwood. I did a left hand signal because I saw a car coming to the intersection. I started turning left and as I was about to enter Teakwood, the car decided to start moving and nearly hit me. I swerved around just in case the car didn't stop. ",,No injury,Commute,Y,Y,N,Wet,No obstructions,Y,"Quiet street, no bike facilities",FB,Flat,N,Turning left,1994.0,2.0,M,2147,-123.3245909,48.46952829,2016-01-11 19:45:00,1452566700
359,Near collision with moving object or vehicle,"Vehicle, head on",2015-12-01T19:25:00,nearmiss,A truck was turning left onto Kings off Fifth Street where there is a barrier attempting to prevent cars from turning left making an illegal left turn. Cars still routinely turn left at this location despite the barrier. It is a dangerous spot for cyclists coming down the hill on Kings St.,,No injury,Commute,Y,Y,N,,No obstructions,Y,"Quiet street, no bike facilities",FB,Flat,W,Turning right,1974.0,12.0,M,2154,-123.3572924,48.43770001,2015-12-01 19:25:00,1449023100
360,Near collision with moving object or vehicle,"Vehicle, side",2016-01-24T13:45:00,nearmiss,Passed within 1 foot while travelling east on Bay Street. Slight downhill grade and on a narrow section of busy road with no bicycle lane,,No injury,Personal business,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Downhill,E,Heading straight,1984.0,2.0,F,2201,-123.3570403,48.43523005,2016-01-24 13:45:00,1453668300
361,Near collision with moving object or vehicle,"Vehicle, rear end",2016-01-13T16:00:00,nearmiss,"With parked cars on my right a large pickup truck, with on coming traffic, passed me from behind leaving me with inches of riding space. ",,No injury,Personal business,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",FB,Flat,S,Heading straight,1947.0,7.0,M,2202,-123.3703279,48.42689393,2016-01-13 16:00:00,1452726000
362,Near collision with moving object or vehicle,"Vehicle, side",2016-01-13T11:15:00,nearmiss,"Was turning out of UVic parking lot and heading up Sinclar Hill Towards McKenzie when someone coming up the hill passed very close to me, I ended up bailing into the grass.",,No injury,Personal business,Y,Y,N,,,,,,,,,1995.0,2.0,M,2205,-123.30583689999999,48.46569401,2016-01-13 11:15:00,1452708900
363,Near collision with moving object or vehicle,"Vehicle, angle",2016-02-04T16:15:00,nearmiss,"I was second of three bikes riding single file, all lighted front and rear. As lead entered intersection, an  overtaking car turned right immediately in front of lead. While avoiding collision, the rider slipped and fell.",,No injury,Exercise or recreation,Y,Y,N,Wet,No obstructions,N,Busy street bike lane,FB,Flat,S,Heading straight,1946.0,4.0,M,2226,-123.4166068,48.61748088,2016-02-04 16:15:00,1454627700
364,Near collision with moving object or vehicle,"Vehicle, rear end",2016-02-18T09:00:00,nearmiss,"Similar to another incident, I was also heading south on Cook street just south of Bay street where the two lanes merge into one.  A blue van in the right lane behind me accelerated very quickly and close to me (inches!) in order to merge by beating the traffic in the left lane .",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1977.0,7.0,F,2254,-123.352282,48.43490617,2016-02-18 09:00:00,1455811200
365,Near collision with moving object or vehicle,"Vehicle, side",2014-11-12T08:15:00,nearmiss,,,No injury,Commute,Y,Y,N,Wet,Obstruction on road,N,"Busy street, no bike facilities",NL,Uphill,N,Heading straight,1995.0,5.0,F,2255,-123.3262467,48.4461933,2014-11-12 08:15:00,1415805300
366,Near collision with moving object or vehicle,Another cyclist,2016-02-20T13:30:00,nearmiss,"I was in the crosswalk, a car stopped to let me cross, but a pelaton of several (12?) bikes was behind the car, going so fast, they could not stop, they swerved around the car, plowed thru the crosswalk, where I was walking my bike.  ",,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,N,Turning left,1950.0,12.0,F,2265,-123.4156895,48.51060584,2016-02-20 13:30:00,1456000200
367,Near collision with moving object or vehicle,"Vehicle, side",2016-02-25T07:45:00,nearmiss,Motorcycle passed cyclist too close through intersection though cyclist was clearly in traffic.  The pass was so close it seemed like attempt to side swipe cyclist.  then yelled at cyclist to get off the road.,,No injury,Commute,Y,Y,N,,,,,,,,,1973.0,6.0,M,2290,-123.37012949999999,48.42787283,2016-02-25 07:45:00,1456411500
368,Near collision with moving object or vehicle,"Vehicle, angle",2016-02-26T17:00:00,nearmiss,"Right hook. Person on bicycle traveling in bike lane. Car right turned from McKenzie onto Gordon Head, cutting off the person on a bicycle. Person on bicycle could see driver in the right hand side mirror, so know that if the driver had used that mirror they would have seen cyclist.",,No injury,Commute,Y,Y,N,Wet,No obstructions,N,Busy street bike lane,FB,Flat,W,,1967.0,2.0,M,2296,-123.31938740000001,48.46864977,2016-02-26 17:00:00,1456531200
369,Near collision with moving object or vehicle,"Vehicle, angle",2016-03-19T13:45:00,nearmiss,"Driver changed lanes from left to right lane, nearly striking me heading through in the right lane. He waved at me.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1982.0,8.0,M,2365,-123.35897150000001,48.42738872,2016-03-19 13:45:00,1458416700
370,Near collision with moving object or vehicle,"Vehicle, angle",2016-03-18T16:15:00,nearmiss,"I was only an observer. A bike flew by me on the sidewalk trying to make the light, and a car had to stomp on the brakes, nearly hitting him. The car was turning right (South to West), and nearly pulled out in front of him. The biker was a young adult male, and was wearing a helmet. ",,No injury,,,,,Dry,No obstructions,N,Sidewalk,NL,Flat,S,Heading straight,,,,2366,-123.3333135,48.44817644,2016-03-18 16:15:00,1458339300
371,Near collision with moving object or vehicle,"Vehicle, angle",2016-03-18T18:00:00,nearmiss,Traffic was stopped waiting for light. Car decided to to turn right from westbound outside lane on McKenzie across bike lane into PetroCan gas station.  I was cut off while traveling in the bike lane.,,No injury,Commute,Y,N,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,W,Heading straight,1967.0,2.0,M,2369,-123.3325893,48.46868534,2016-03-18 18:00:00,1458345600
372,Near collision with moving object or vehicle,"Vehicle, angle",2016-03-18T15:45:00,nearmiss,I was travelling fast in a marked bike lane.  A taxi passed me and immediately pulled over into the bike lane right in front of me without signalling and I nearly collided with its side.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,S,Heading straight,1992.0,2.0,F,2371,-123.3158877,48.45182681,2016-03-18 15:45:00,1458337500
373,Near collision with moving object or vehicle,"Vehicle, angle",2016-03-18T12:15:00,nearmiss,Large truck was turning left onto Lee avenue. I was turning right onto leighton.,,No injury,Commute,Y,Y,N,Dry,View obstructed,N,"Busy street, no bike facilities",FB,Flat,S,Turning right,1975.0,11.0,F,2394,-123.3255619,48.42840143,2016-03-18 12:15:00,1458324900
374,Near collision with moving object or vehicle,Another cyclist,2016-03-31T08:05:00,nearmiss,"Other cyclist to shortcut around island, at fast speed, put them on right side of crosswalk heading straight for me. I ended up passing them on on left side.",,No injury,Commute,Y,Y,N,Dry,View obstructed,N,Busy street bike lane,B,Flat,W,Heading straight,1964.0,4.0,M,2413,-123.3903031,48.45824919,2016-03-31 08:05:00,1459433100
375,Near collision with moving object or vehicle,"Vehicle, side",2016-03-31T14:55:00,nearmiss,Travelling westbound on Mckenzie and had just passed through the Mckenzie and Shelbourne intersection when a vehicle passed me and turned right in front of me into the esso gas station,,No injury,Personal business,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,W,Heading straight,1988.0,8.0,M,2422,-123.3330935,48.46868178,2016-03-31 14:55:00,1459457700
376,Near collision with moving object or vehicle,"Vehicle, side",2016-03-30T11:30:00,nearmiss,Vehicle attempted to pass a group of cyclists southbound on West Saanich Road just after the bike lane ends prior to the reservation while a car was in the northbound lane.  Just missed hitting me by a few cm while sounding its horn.,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,S,Heading straight,1960.0,3.0,M,2423,-123.45643759999999,48.66613782,2016-03-30 11:30:00,1459359000
377,Near collision with moving object or vehicle,"Vehicle, side",2016-03-08T16:30:00,nearmiss,Truck was turning right onto Helmcken RD. Traffic was bumper to bumper and not moving and the driver was creeping into traffic without looking to his left. He hit the gas with no warning and nearly hit me. Then proceeded to flip the bird and yell at me through the his passengers window.  ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Downhill,SW,Heading straight,1988.0,8.0,M,2430,-123.42712639999999,48.46719148,2016-03-08 16:30:00,1457479800
378,Near collision with moving object or vehicle,"Vehicle, side",2016-04-05T22:05:00,nearmiss,Heading straight on Fort St. Car turning off Vancouver starts rolling to turn right onto Fort. I start slowing as I see he hasn't stopped and isn't looking at me. I finally yell at him right as I get to his bumper and he stops.,None,No injury,Social reason,Y,Y,N,Dry,No obstructions,Y,Busy street bike lane,FB,Flat,E,Heading straight,1982.0,8.0,F,2440,-123.35685249999999,48.42360466,2016-04-05 22:05:00,1459915500
379,Near collision with moving object or vehicle,"Vehicle, side",2016-01-16T13:10:00,nearmiss,Passing vehicle left no room on my left and I swerved right to avoid being knocked off.,More careful,No injury,Personal business,,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,W,Heading straight,,,,2453,-123.337369,48.41224723,2016-01-16 13:10:00,1452975000
380,Near collision with moving object or vehicle,"Vehicle, side",2016-04-11T08:35:00,nearmiss,,More careful,No injury,Commute,Y,Y,N,Wet,No obstructions,N,"Busy street, no bike facilities",FB,Flat,I don't know,Turning left,1992.0,1.0,M,2467,-123.3645666,48.42944972,2016-04-11 08:35:00,1460385300
381,Near collision with moving object or vehicle,Another cyclist,2016-04-14T16:10:00,nearmiss,"Cyclist passed me with no warning on a narrow, extremely busy bike lane and almost sent me in to the Yield sign. Cyclist then darted out in to the car lane, causing a driver to honk. Cyclist waved at the car then took off. Cyclist had all the ""gear"" and was obviously not a new rider, just dangerous",None,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,B,Flat,I don't know,Heading straight,1964.0,5.0,F,2475,-123.37026399999999,48.4283605,2016-04-14 16:10:00,1460671800
382,Near collision with moving object or vehicle,"Vehicle, side",2016-04-16T14:00:00,nearmiss,,,No injury,Exercise or recreation,,,,,,,,,,,,,,,2479,-123.36773159999998,48.41258728,2016-04-16 14:00:00,1460836800
383,Near collision with moving object or vehicle,"Vehicle, side",2016-04-16T13:40:00,nearmiss,,,No injury,Exercise or recreation,,,,Dry,No obstructions,N,Mixed use trail,NL,Flat,,,,,,2480,-123.3766794,48.45256352,2016-04-16 13:40:00,1460835600
384,Near collision with moving object or vehicle,"Vehicle, angle",2016-04-22T17:55:00,nearmiss,"I was travelling east on Begbie, turning left onto Shakespeare. A pickup truck travelling south on Shakespeare did not stop at the stop sign and started to turn left onto Begbie. I braked hard, causing a skid. The vehicle stopped in the intersection and I completed my turn around it.",None,No injury,Commute,Y,Y,N,Wet,No obstructions,N,Busy street bike lane,FB,Flat,NE,Turning left,1979.0,5.0,M,2508,-123.3357811,48.42949956,2016-04-22 17:55:00,1461369300
385,Near collision with moving object or vehicle,"Vehicle, angle",2016-04-19T15:35:00,nearmiss,BMW passed from my left side across two lanes to turn right onto westbound Lansdowne Rd without signalling.,None,No injury,,,,,,,,Busy street bike lane,,,S,,,,,2524,-123.3218497,48.44610552,2016-04-19 15:35:00,1461101700
386,Near collision with moving object or vehicle,"Vehicle, side",2016-04-06T08:30:00,nearmiss,"riding N on Government  when a car at Simcoe ran a stop sign and turned left onto Government, apparently without seeing me in the intersection.  I stopped in the road to avoid the collision.  A pedestrian noted the incident and remarked it was a good thing I (me) was paying attention.",None,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",NL,Flat,N,Heading straight,1965.0,3.0,F,2526,-123.3705425,48.4136359,2016-04-06 08:30:00,1459953000
387,Near collision with moving object or vehicle,"Vehicle, head on",2016-05-03T08:10:00,nearmiss,,More careful,No injury,Commute,,,,,,,,,,,,,,,2614,-123.36008729999999,48.47054194,2016-05-03 08:10:00,1462284600
388,Near collision with moving object or vehicle,"Vehicle, side",2016-04-21T16:30:00,nearmiss,"vehicle turning south onto Foul Bay off side-street pulled out and turned right, immediately in front of me, as I was speeding down the hill. Had to veer severely into vehicle lane to avoid being hit. ",More careful,No injury,Commute,,,,,,,,,,,,,,,2615,-123.32180679999999,48.44448289,2016-04-21 16:30:00,1461277800
389,Near collision with moving object or vehicle,"Vehicle, angle",2016-04-13T16:00:00,nearmiss,A driver was making a left across traffic into the Corona corner store parking lot. They rushed the crossing (busy traffic on that stretch of Sooke Road) and nearly took me out. There is a turning lane so cars stop and have to quickly accelerate. It is close to another turning lane and is confusing.,More careful,No injury,Exercise or recreation,,,,Dry,View obstructed,N,Busy street bike lane,NL,Flat,E,Heading straight,,,,2647,-123.4886563,48.43585645,2016-04-13 16:00:00,1460584800
390,Near collision with moving object or vehicle,"Vehicle, side",2016-04-12T16:05:00,nearmiss,,More careful,No injury,Commute,,,,,,,,,,,,,,,2666,-123.35485700000001,48.42079936,2016-04-12 16:05:00,1460498700
391,Near collision with moving object or vehicle,"Vehicle, side",2015-12-15T08:20:00,nearmiss,Almost hit (millimetres away) by handy dart but in school/cross walk zone as he passed me while going very fast,,No injury,Commute,,,,,,,,,,,,,,,2695,-123.3588696,48.46676821,2015-12-15 08:20:00,1450192800
392,Near collision with moving object or vehicle,"Vehicle, head on",2016-05-17T08:40:00,nearmiss,This intersection is pedestrian controlled. I hit the button and waited for the crosswalk signal to signal me to cross. I started to cross the crosswalk and a car ran the red light through the crosswalk when I was halfway through. ,None,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1993.0,7.0,M,2712,-123.3274072,48.47605798,2016-05-17 08:40:00,1463496000
393,Near collision with moving object or vehicle,"Vehicle, side",2016-04-14T13:45:00,nearmiss,"Heading straight through Haultain on a green light, a car was driving along Shelbourne and ran the red light. I stopped in time to avoid going in their path.",None,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,E,Heading straight,1988.0,4.0,F,2719,-123.3335763,48.43604508,2016-04-14 13:45:00,1460663100
394,Near collision with stationary object or vehicle,Curb,2016-02-09T11:55:00,nearmiss,Road rage incident resulting with motorcyclist pushing me  on upper arm 4 feet over into the bike lane and less than 1 foot from the curb all at high speed because he thought I should be in the bike lane and not riding right next to it.  An officer was lied to that I swerved into him.   ,More careful,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,Busy street bike lane,FB,Downhill,N,Heading straight,1969.0,10.0,M,2733,-123.38655530000001,48.4915573,2016-02-09 11:55:00,1455044100
395,Near collision with moving object or vehicle,"Vehicle, side",2016-05-25T16:30:00,nearmiss,Driver failed to yield in roundabout (as usual.),None,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,E,Turning left,1975.0,7.0,M,2773,-123.30751599999999,48.4668927,2016-05-25 16:30:00,1464215400
396,Near collision with moving object or vehicle,"Vehicle, angle",2016-04-20T08:15:00,nearmiss,"S. on Wharf intending to go straight through intersection at Belleville.  Nearing the intersection in the centre right of the straight thru lane, a SUV overtook me, then turned right, in front of me, to get into the right turn 'y' lane, turning R. on Belleville; wheels touched but I did not go down.",None,No injury,During work,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1965.0,3.0,F,2783,-123.3689439,48.42079936,2016-04-20 08:15:00,1461161700
397,Near collision with moving object or vehicle,"Vehicle, head on",2012-03-22T15:40:00,nearmiss,"Stopped in time after being cut off by a turning vehicle. My partner, riding behind me, then collided into my bike. I ended up over my handle bars in front of my bike. Basically, I stopped her from colliding with the car.",,"Injury, no treatment",Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,NE,Heading straight,1988.0,3.0,M,2794,-123.3350676,48.4273549,2012-03-22 15:40:00,1332452400
398,Near collision with moving object or vehicle,"Vehicle, angle",2016-03-17T16:10:00,nearmiss,"After riding down the hill, I was about to enter the cross walk to cross the old island highway when a pick up truck heading the same direction as me started to make an illegal right turn onto the on ramp for the Trans Canada.  We both had to hit the brakes to avoid a collision.",More careful,No injury,,,,,,,,,,,,,,,,2800,-123.45405579999999,48.46066256,2016-03-17 16:10:00,1458252600
399,Near collision with moving object or vehicle,"Vehicle, side",2016-03-29T16:20:00,nearmiss,"When bikes move from the shoulder of Admirals to the turn lane in order to turn left down Hallowell Rd during high traffic congestion, vehicles have pulled out from traffic and sped into the on coming lane to reach the left turn lane as well.  Its very unexpected and happens very fast.",More careful,No injury,,,,,,,,,,,,,,,,2802,-123.4273615,48.44521799,2016-03-29 16:20:00,1459290000
400,Near collision with moving object or vehicle,"Vehicle, side",2016-05-20T14:00:00,nearmiss,Was crossing the street in the bike path when are car turned fast off of Colville and slammed on the breaks when they noticed me crossing.,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,Quiet street bike lane,NL,Flat,W,Heading straight,1988.0,3.0,M,2810,-123.41371540000002,48.43752562,2016-05-20 14:00:00,1463774400
401,Near collision with moving object or vehicle,"Vehicle, side",2016-04-11T07:10:00,nearmiss,"Vehicles were backed from the stop light.  In front of the gas station the road is marked with white lines so vehicles keep the entry clear. As I road past the gas station a vehicle crossed the bike lane directly in front of me, I was able to slam my brakes on with my bike going sideways, didn't hit",More careful,No injury,Commute,,,,,No obstructions,N,Busy street bike lane,FB,Downhill,E,Heading straight,,,,2813,-123.468883,48.44540097,2016-04-11 07:10:00,1460380200
402,Near collision with moving object or vehicle,"Vehicle, rear end",2016-04-21T07:40:00,nearmiss,"I hugged the right side of the road and could hear a big truck coming up from behind me.  The road narrows and the truck sped by me literally inches away, didn't give me enough space at all especially if I were to accidentally make a sudden movement. ",More careful,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,Busy street bike lane,FB,Uphill,SE,Heading straight,1986.0,1.0,F,2814,-123.4274912,48.44135847,2016-04-21 07:40:00,1461246000
403,Near collision with moving object or vehicle,"Vehicle, rear end",2016-03-23T07:30:00,nearmiss,"A cyclist failed to signal that he was turning onto the trail from the road.  As I was checking my blindspot behind me (I was able to pass him), I then looked forward and had to slam my brakes on as he immediately slowed to turn right onto the trail.  He did not signal that he was slowing down.",None,No injury,Commute,Y,Y,N,Wet,No obstructions,N,Busy street bike lane,FB,Downhill,E,Heading straight,1986.0,1.0,F,2815,-123.4319115,48.45277343,2016-03-23 07:30:00,1458739800
404,Near collision with moving object or vehicle,"Vehicle, side",2016-05-30T08:45:00,nearmiss,"Entering a 4 way stop, a van coming from my left didn't make a complete stop and continued through causing, me to swerve out of the way to avoid being hit. ",More careful,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1985.0,6.0,F,2816,-123.359642,48.41655552,2016-05-30 08:45:00,1464619500
405,Near collision with moving object or vehicle,"Vehicle, angle",2016-06-01T15:25:00,nearmiss,"Pickup truck driver turning right did not shoulder check or check mirrors for bike lane traffic, and crossing the bike lane turned into me. He did see and diverted but after I'd already had to swerve severely to avoid impact. ",More careful,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,W,Heading straight,1975.0,9.0,M,2833,-123.3325624,48.46874581,2016-06-01 15:25:00,1464816300
406,Near collision with moving object or vehicle,"Vehicle, side",2016-06-01T16:40:00,nearmiss,"Oncoming car turned left through traffic, crossing bike lane to enter parking lot. Did not check for cyclists, turned directly in front of me. I yelled, older male driver did not even turn his head. When confronted, smiled, said he did not see me and walked off.",None,No injury,Commute,Y,Y,N,Dry,View obstructed,N,Busy street bike lane,NL,Downhill,W,Heading straight,1991.0,,F,2837,-123.33103899999999,48.46070689,2016-06-01 16:40:00,1464820800
407,Near collision with moving object or vehicle,Pedestrian,2016-05-31T15:45:00,nearmiss,A pedestrian wearing earbuds darted out through northbound traffic that was stopped after the intersection.  I was in the center of the right turn lane and he nearly ran into me.,None,No injury,Commute,,,,,,,,,,S,Heading straight,,,,2838,-123.32241299999998,48.43331521,2016-05-31 15:45:00,1464731100
408,Near collision with moving object or vehicle,"Vehicle, angle",2016-06-01T16:00:00,nearmiss,I was riding in the bike lane at around 15km/h and a black jeep started to turn right off of Blanshard through the dedicated bike lane and narrowly missed me I. I had to quickly jump onto the sidewalk and swerve around in front of the jeep to avoid being hit. Braking wasn't an option. ,More careful,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Flat,N,Heading straight,1978.0,,M,2840,-123.369813,48.45149969,2016-06-01 16:00:00,1464818400
409,Near collision with moving object or vehicle,"Vehicle, side",2016-06-01T16:25:00,nearmiss,A commercial truck did not stop at the stop sign on Kelvin Road and crossed the Galloping Goose trail at about 40 km per hour at biking 'rush hour'. I braked hard to avoid entering the roadway. Periodic police enforcement at these stops would be helpful.,None,No injury,Commute,,,,,,,,,,,,,,,2845,-123.37494009999999,48.44905805,2016-06-01 16:25:00,1464819900
410,Near collision with moving object or vehicle,"Vehicle, side",2016-06-02T11:10:00,nearmiss,Car turning left off Cook onto View eastbound started turning as I was travelling through right lane. Forced to swerve to avoid.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1982.0,8.0,M,2848,-123.35379479999999,48.42419086,2016-06-02 11:10:00,1464887400
411,Near collision with moving object or vehicle,"Vehicle, head on",2015-12-15T07:00:00,nearmiss,,More careful,No injury,Commute,,,,,,,,,,,,,,M,2855,-123.313787,48.47398109,2015-12-15 07:00:00,1450188000
412,Near collision with moving object or vehicle,"Vehicle, side",2016-06-02T19:00:00,nearmiss,"Our group rode through a road/bike path intersection, car approached the intersection at high rate of speed, after our group was already in the intersection, and the car nearly took out half the group.Cars should most definitely have a stop-sign at that location.",Too soon,No injury,Exercise or recreation,Y,Y,N,Dry,View obstructed,N,Mixed use trail,NL,Flat,E,Heading straight,1968.0,7.0,M,2869,-123.3807081,48.45612484,2016-06-02 19:00:00,1464915600
413,Near collision with moving object or vehicle,"Vehicle, angle",2015-09-03T20:05:00,nearmiss,,None,No injury,Social reason,,,,Don't remember,,,,,,,,,,,2873,-123.36892250000001,48.42064984,2015-09-03 20:05:00,1441332300
414,Near collision with moving object or vehicle,"Vehicle, rear end",2016-06-03T12:00:00,nearmiss,SUV backing out of Seaview Suites onto Cordova Bay Road. SUV stopped backing out when in bike lane and forced me into road with cars coming up behind me. I avoided SUV and cars behind were forced to slow down. ,Too soon,No injury,Exercise or recreation,Y,Y,N,,,,,,,,,,,M,2879,-123.3450508,48.50312804,2016-06-03 12:00:00,1464976800
415,Near collision with moving object or vehicle,"Vehicle, side",2016-06-03T12:05:00,nearmiss,"Riding southbound on Cordova Bay Road, signalled left to go from bike lane to turning lane to turn left onto Ash Road just past the Mount Doug Park parking lot entrance.  A Saanich city van pulled out from the parking lot onto Cordova Bay Road, forcing me to slam on my brakes to not hit it.",Too soon,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Downhill,S,Turning left,1970.0,,M,2880,-123.33558799999999,48.49520833,2016-06-03 12:05:00,1464977100
416,Near collision with moving object or vehicle,"Vehicle, side",2016-06-02T19:05:00,nearmiss,"Approaching Harriet on Galloping Goose trail, as we were crossing the road a car came to a skidding stop. Driver had not slowed down or looked for people on bikes. ",None,No injury,Exercise or recreation,Y,Y,N,,,,,NL,Flat,S,Heading straight,1967.0,4.0,M,2888,-123.3807135,48.45609638,2016-06-02 19:05:00,1464915900
417,Near collision with moving object or vehicle,"Vehicle, side",2016-06-10T04:40:00,nearmiss,This stretch of Craigflower from Tillicum to Admirals is the WORST for drivers pulling into the bike lane ON TOP OF YOU to turn right.  There is a curb that traps cyclists so you can't get out of the way.  Several times now I have had to scream to keep from being crushed.  Ride here with care!!!,More careful,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Flat,W,Heading straight,1952.0,10.0,F,2928,-123.4163761,48.448333,2016-06-10 04:40:00,1465555200
418,Near collision with moving object or vehicle,"Vehicle, angle",2016-06-02T08:45:00,nearmiss,"Car tried to turn right into me as I was biking in the bike lane, straight through the intersection.  I slowed just before they started turning because I suspected that this would happen.",None,No injury,Commute,,,,Dry,No obstructions,N,Busy street bike lane,NL,Flat,W,Heading straight,,,,2946,-123.3619916,48.42604671,2016-06-02 08:45:00,1464878700
419,Near collision with moving object or vehicle,"Vehicle, angle",2016-06-08T08:45:00,nearmiss,Dump truck swerved in to my lane (right-most lane) to go around a car turning left (east).  Had to jam my brakes to avoid having it hit me.,None,No injury,Commute,,,,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,N,Heading straight,,,,2947,-123.36703419999999,48.42849576,2016-06-08 08:45:00,1465397100
420,Near collision with moving object or vehicle,Another cyclist,2016-06-30T13:45:00,nearmiss,Pedestrians were walking and another biker was impatient and tried to pass them but didn't leave enough time and space to get out of on-coming traffic and I almost ran into her.,More careful,No injury,Exercise or recreation,,,,,,,,,,,,,,,3080,-123.3792007,48.44437258,2016-06-30 13:45:00,1467315900
421,Near collision with moving object or vehicle,"Vehicle, side",2016-06-15T16:20:00,nearmiss,Driver didn't yield in the roundabout.,None,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,NW,Turning left,1975.0,7.0,M,2975,-123.307457,48.46697451,2016-06-15 16:20:00,1466029200
422,Near collision with moving object or vehicle,"Vehicle, side",2016-06-15T16:50:00,nearmiss,"Descending at same speed as auto traffic in front and behind. Driver turning left onto Cordova Bay Rd. from Sayward Hill Crescent. Didn't check for coming traffic and pulled out into my lane, completely blocking it and forcing me to swerve into oncoming lane to avoid him. At least he waved :|",None,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Downhill,NE,Heading straight,1975.0,7.0,M,2976,-123.3793294,48.53140212,2016-06-15 16:50:00,1466031000
423,Near collision with moving object or vehicle,Another cyclist,2016-06-01T16:55:00,nearmiss,"Cyclist turned left off trail forcing me off the trail and onto the grass. Cyclist behind me may have hit her. Nobody *ever* shoulder checks or signals while turning left off the Goose. People often start turning, panic and block the trail entirely.  A problem everywhere, but it's a nightmare here.",None,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Mixed use trail,NL,Flat,S,Heading straight,1975.0,7.0,M,2978,-123.37911489999999,48.44493481,2016-06-01 16:55:00,1464821700
424,Near collision with moving object or vehicle,Another cyclist,2016-06-20T16:45:00,nearmiss,"Cyclist rode through stoplight on McKenzie.  I stopped for a red light on McKenzie, as a pedestrian was crossing McKenzie walking towards Braefoot Park.  A Cyclist approached from behind me and passed on the left and rode through the the stop light. ",None,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,E,Heading straight,1960.0,1.0,M,2993,-123.34688020000002,48.47190929,2016-06-20 16:45:00,1466462700
425,Near collision with moving object or vehicle,"Vehicle, side",2016-06-21T08:45:00,nearmiss,I was riding on the bike lane on Fort St  heading away from downtown and at the intersection at Fort and Morrison (Esso Gas Station) a car cut me off and turned into the gas station parking lot and I applied both brakes and swerved and luckily no vehicle going the same direction heading was on my left as this was happening or else...That car missed me within a foot.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,I don't know,Heading straight,1965.0,4.0,M,2996,-123.324023,48.43167545,2016-06-21 08:45:00,1466520300
